orb_radius,period
0.1399,24.643539999999998
0.2076,44.55983
0.04839,4.098503
0.022000000000000002,1.25785
0.08036,8.99213
0.1399,20.6602
0.1862,31.7154
0.0426,2.995633
0.055,5.608352
0.031,2.3999639999999998
0.023,1.42266
0.0555,5.34059
0.0511,4.44117
0.0654,6.4290400000000005
0.1103,14.09189
0.0964,10.56103
0.078,10.003417
0.0617,6.68796
0.038,3.4713410000000002
0.0651,5.65688
0.0224,1.7292683999999998
0.13821,19.1541
0.1779,31.6372
0.1344,20.5065
0.0309,2.77065
0.0532,5.73594
0.0818,10.93241
0.0705,8.7529
0.0485,3.53482
0.0975,12.2054
0.0671,9.7843
0.03486,2.8492580000000003
0.0746,9.0063
0.0692,7.05254
0.035,2.53726
0.1517,22.8827
0.1354,20.6921
0.0905,11.2954
0.1898,30.941909999999996
0.045,3.00265
0.0392,2.57302
0.0636,6.67202
0.1148,16.1966
0.1627,20.257
0.0619,6.5304400000000005
0.1014,12.6475
0.05983,5.06963
0.0708,8.05428
0.0591,7.065989999999999
0.1814,28.679920000000003
0.1112,13.97896
0.0559,6.985410000000001
0.04,5.577212
0.078,15.189034
0.05,7.760178
0.106,24.158868
0.07619,7.495430000000001
0.1402,19.5666
0.081,7.8142
0.1429,18.311
0.0987,10.99573
0.0856,10.35239
0.0532,5.06416
0.135,19.0918
0.0596,5.605
0.059000000000000004,6.102325
0.03014,2.74697
0.07131,9.99767
0.0665,6.4215
0.1768,27.86
0.01263,0.684533
0.077,8.77683
0.0876,9.72739
0.0345,4.6122
0.01462,1.096026
0.091,18.4498
0.1,13.734907000000002
0.035,2.900706
0.0164,1.419549
0.0696,10.134016
0.086,8.406725999999999
0.0974,10.136448
0.1597,18.251985
0.02466,1.217514
0.0525,4.1662739
0.06708,5.031623000000001
0.03005,1.7100566000000001
0.02044,0.9689950999999999
0.04881,3.0801716
0.0455,2.8717517999999997
0.0637,4.6117093
0.0542,3.4741085
0.05224,3.6127647000000005
0.04317,2.9895932000000003
2.39,1276.0
0.03462,1.4811235
0.382,86.647661
0.036410000000000005,1.7635880000000002
0.15525,22.3395
0.0477,3.9051199999999997
0.07400000000000001,7.008151
0.08900000000000001,8.719375
0.32,59.73667
0.42,91.93913
0.48,124.9144
0.71,210.60697000000002
1.01,331.60059
0.534,141.241671
0.006,0.24010399999999998
0.0076,0.342887
0.05119,3.743208
0.1013,10.423648
0.1684,22.342989000000003
0.3046,54.32031
0.0269,1.706291
0.311,121.54
0.0172,0.837491
0.0474,3.4876812000000004
0.0684,6.02976
0.094,11.427548
0.153,23.668205
0.257,51.755394
0.066,5.4122
0.044000000000000004,3.179997
0.059000000000000004,4.901425
0.08199999999999999,7.958203
0.12300000000000001,14.749049
0.292,49.183921000000005
0.721,190.32349399999998
0.091,10.3039
0.107,13.0241
0.155,22.6845
0.195,31.9996
0.25,46.6888
0.466,118.3807
0.107,12.691112
0.198,31.719775
0.046,3.341815
0.7609999999999999,224.78460800000002
0.076,8.408878
0.172,28.574263000000002
0.053,5.188549
0.036000000000000004,2.403679
0.087,8.990889
0.069,5.9687339999999995
0.11599999999999999,13.07163
0.1445,18.7959228
0.2804,50.790391
0.073,7.518496000000001
0.141,20.17202
0.035,2.422082
0.049,4.125103
0.0553,4.4379629000000005
0.055,6.312501
0.08800000000000001,12.794585000000001
0.039,3.177422
0.21600000000000003,41.008010999999996
0.064,5.766193
0.10800000000000001,12.465988000000001
0.155,21.587475
0.22699999999999998,37.993272999999995
0.135,17.232366
0.18100000000000002,26.695073999999998
0.039,3.410493
0.1,13.821375
0.17,30.950851
0.040999999999999995,4.164389
0.051,5.774464
0.099,10.495711
0.162,21.869741
0.44799999999999995,100.28313399999999
0.125,14.435889000000001
0.2,29.393195000000002
0.28,48.630408
0.131,15.79186
0.39299999999999996,82.20017
0.079,8.457458
0.17800000000000002,27.50868
0.377,87.517905
0.067,6.178196
0.068,6.414914
0.136,18.010199
0.083,8.129976
0.204,31.517585999999998
0.06,5.317429
0.092,10.105785000000001
0.067,6.00253
0.10300000000000001,11.448708
0.106,11.5789
0.133,16.399235
0.077,8.436387
0.13,18.735753
0.127,15.771044
0.586,157.072878
0.045,3.25427
0.414,91.353282
0.039,3.107675
0.067,7.010606
